local-1790212504	main	test-check4-batch.sh	0	150	0	0	parallel
local-1790212504	main	test-gate-base-selection.sh	0	2	0	0	parallel
local-1790212504	main	test-gate-base-evidence.sh	0	5	0	0	parallel
local-1790212504	main	test-gate-check-stderr.sh	0	2	0	0	parallel
local-1790212504	main	test-gate-ci-diag.sh	0	2	0	0	parallel
local-1790212504	main	test-gate-discover-branch.sh	0	1	0	0	parallel
local-1790212504	main	test-gate-check-stuck.sh	0	4	0	0	parallel
local-1790212504	main	test-gate-host-cores.sh	0	1	0	0	parallel
local-1790212504	main	test-gate-fixture-diag.sh	0	4	0	0	parallel
local-1790212504	main	test-gate-check-flaky.sh	0	9	0	0	parallel
local-1790212504	main	test-gate-missing-cmd.sh	0	3	0	0	parallel
local-1790212504	main	test-gate-retry-structural.sh	0	2	0	0	parallel
local-1790212504	main	test-gate-retry.sh	0	2	0	0	parallel
local-1790212504	main	test-census.sh	0	166	0	0	parallel
local-1790212504	main	test-gate-preflight.sh	0	4	0	0	parallel
local-1790212504	main	test-gate-check-red-twice.sh	0	14	0	0	parallel
local-1790212504	main	test-gate-sweep.sh	0	7	0	0	parallel
local-1790212504	main	test-gate-vitals.sh	0	1	0	0	parallel
local-1790212504	main	test-gate-touched.sh	0	5	0	0	parallel
local-1790212504	main	test-gate-workflow.sh	0	1	0	0	parallel
local-1790212504	main	test-git-identity.sh	0	2	0	0	parallel
local-1790212504	main	test-gate-verdict.sh	0	11	0	0	parallel
local-1790212504	main	test-groom-trigger.sh	0	5	0	0	parallel
local-1790212504	main	test-gh-run-gate.sh	0	7	0	0	parallel
local-1790212504	main	test-governor-host-cores.sh	0	6	0	0	parallel
local-1790212504	main	test-groomer.sh	0	6	0	0	parallel
local-1790212504	main	test-host-unit-names.sh	77	1	0	0	parallel
local-1790212504	main	test-gh-intake.sh	0	12	0	0	parallel
local-1790212504	main	test-id-prefix.sh	0	2	0	0	parallel
local-1790212504	main	test-incident-cause.sh	0	2	0	0	parallel
local-1790212504	main	test-incident-delivers-satisfiable.sh	0	3	0	0	parallel
local-1790212504	main	test-hold.sh	0	6	0	0	parallel
local-1790212504	main	test-held.sh	0	8	0	0	parallel
local-1790212504	main	test-groomer-sweep.sh	0	15	0	0	parallel
local-1790212504	main	test-check4-events.sh	0	191	0	0	parallel
local-1790212504	main	test-install-conflicts.sh	0	10	0	0	parallel
local-1790212504	main	test-install-dolt-breaker.sh	1	9	0	0	parallel
local-1790212504	main	test-install-bootstrap-release.sh	0	6	0	0	parallel
local-1790212504	main	test-host-reason.sh	0	15	0	0	parallel
local-1790212504	main	test-incident-dedup.sh	0	38	0	0	parallel
local-1790212504	main	test-gh-issue-closeout.sh	0	47	0	0	parallel
local-1790212504	main	test-gate-tree.sh	1	39	0	0	parallel
local-1790212504	main	test-install-conf-seed.sh	0	33	0	0	parallel
local-1790212504	main	test-install-dolt-mode.sh	0	31	0	0	parallel
local-1790212504	main	test-incident-recur-cause.sh	0	54	0	0	parallel
local-1790212504	main	test-groom-escalation-check.sh	0	40	0	0	parallel
local-1790212504	main	test-install-dolt-port-wait.sh	0	28	0	0	parallel
local-1790212504	main	test-incident.sh	0	66	0	0	parallel
local-1790212504	main	test-install-aeons.sh	0	53	0	0	parallel
local-1790212504	main	test-incident-recur-bounded.sh	0	68	0	0	parallel
local-1790212504	main	test-install-dolt.sh	0	34	0	0	parallel
local-1790212504	main	test-install-landref.sh	0	4	0	0	parallel
local-1790212504	main	test-install-mail-deliver.sh	0	5	0	0	parallel
local-1790212504	main	test-install-loom-broker.sh	0	3	0	0	parallel
local-1790212504	main	test-install-rehearsal.sh	77	3	0	0	parallel
local-1790212504	main	test-install-prod-checkout.sh	0	6	0	0	parallel
local-1790212504	main	test-install-bd-init-cwd.sh	0	79	0	0	parallel
